18,0,REGULAR TEA MASALA,0,4,,2.5,2.5,0,66.66666667,66.66666667,0,133.3333333,2666.666667,2800,1,0,,FHrna0TtlD18,17-09-2025 0:00,17-09-2025 0:00,0,1,90230,0,65498,1,0,0,NULL,0,NULL,Box,1,0,No,,3,0,0,0,No,2800,0,0,0,0,0,0,0,0,0,18,NULL,0
,,REGULAR TEA MASALA,,4,,2.5,2.5,0,61.9047619,61.9047619,0,123.8095238,2476.190476,2600,1,,,,,,,,090230,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,COFFEE PREMIX HOT,,4,,9,9,0,25.16949153,25.16949153,0,50.33898305,279.6610169,330,1,,,,,,,,21011200,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,COFFEE PREMIX COLD,,4,,9,9,0,21.3559322,21.3559322,0,42.71186441,237.2881356,280,1,,,,,,,,21011200,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,INST.LEMON TEA,,4,,9,9,0,19.06779661,19.06779661,0,38.13559322,211.8644068,250,1,,,,,,,,210120,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,TEA PREMIX JAGGERY MIX - 10 GRM,,4,,9,9,0,26.69491525,26.69491525,0,53.38983051,296.6101695,350,1,,,,,,,,21012090,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,ASH JAGGERY TEA 17 GMS SACHET,,4,,2.5,2.5,0,8.333333333,8.333333333,0,16.66666667,333.3333333,350,1,,,,,,,,9021010,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,ASH JAGGERY TEA 170 GM PKT - 1 LTR (R),,4,,2.5,2.5,0,1.666666667,1.666666667,0,3.333333333,66.66666667,70,1,,,,,,,,9021010,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,SUGAR FREE,,4,,9,9,0,17.16101695,17.16101695,0,34.3220339,190.6779661,225,1,,,,,,,,9021010,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
,,KESAR MILK PISTA,,4,,2.5,2.5,0,10.71428571,10.71428571,0,21.42857143,428.5714286,450,1,,,,,,,,4022990,,,,,,,0,,,,,No,,3,,,,,,,,,,,,,,,,,0
